scenario,method,n_seeds,goodput_per_slot,packet_delivery_ratio,mac_efficiency,queue_stability_slope,Wt_p95,jain_tx_tail100,starvation_ratio
N12_grid_manet_pedestrian,B,3,0.2770,0.1356,0.0464,16.6721,15824.8000,0.4921,0.6944
N12_grid_manet_pedestrian,B_constrained_budget_only,3,0.2570,0.1259,0.0319,15.8015,16379.0333,0.2513,0.6111
N12_grid_manet_pedestrian,B_constrained_mappo_multihead,3,0.2645,0.1297,0.0378,15.5679,16146.7000,0.1935,0.4167
N12_grid_manet_pedestrian,B_debt_adaptive,3,0.2685,0.1319,0.0390,16.8423,15113.0217,0.2784,0.5000
N12_grid_manet_pedestrian,B_masked_debt_adaptive,3,0.2720,0.1334,0.0388,18.5290,16039.3667,0.4433,0.6944
N12_grid_manet_pedestrian,B_masked_debt_budget,3,0.2546,0.1247,0.0318,18.6805,16398.8667,0.3339,0.5278
N12_grid_manet_pedestrian,greedy_stdma_2hop,3,0.1608,0.0789,0.0136,17.9578,18343.4667,0.6849,0.8333
N12_grid_manet_pedestrian,heuristic_only,3,0.1473,0.0722,0.0123,18.3855,18425.5000,0.5416,0.7778
N12_grid_manet_pedestrian,plain_tdma,3,0.0628,0.0308,0.0524,18.2623,18716.3000,0.1069,0.6944
N12_grid_manet_pedestrian,ppo_baseline,3,0.2710,0.1329,0.0452,17.1105,16062.0667,0.2765,0.6944
N12_grid_manet_pedestrian,traffic_adaptive_tdma,3,0.0267,0.0131,0.0022,19.9179,18757.4667,0.8900,0.9167
N12_grid_manet_uav_sparse,B,3,0.2430,0.1191,0.0406,9.9872,14682.8667,0.3690,0.5556
N12_grid_manet_uav_sparse,B_constrained_budget_only,3,0.2715,0.1331,0.0327,10.5146,14523.3000,0.4788,0.5556
N12_grid_manet_uav_sparse,B_constrained_mappo_multihead,3,0.2630,0.1291,0.0321,9.6056,14822.9667,0.3346,0.3333
N12_grid_manet_uav_sparse,B_debt_adaptive,3,0.2598,0.1276,0.0395,9.5979,13528.2667,0.3304,0.2778
N12_grid_manet_uav_sparse,B_masked_debt_adaptive,3,0.2683,0.1315,0.0313,12.0047,14886.2000,0.3555,0.2500
N12_grid_manet_uav_sparse,B_masked_debt_budget,3,0.2676,0.1312,0.0327,10.9178,14836.8267,0.5113,0.5278
N12_grid_manet_uav_sparse,greedy_stdma_2hop,3,0.2661,0.1305,0.0224,10.3666,15758.0667,0.3006,0.4444
N12_grid_manet_uav_sparse,heuristic_only,3,0.2723,0.1335,0.0227,10.2692,15539.0250,0.2803,0.5556
N12_grid_manet_uav_sparse,plain_tdma,3,0.0493,0.0242,0.0411,14.2274,18534.9333,0.6533,0.8333
N12_grid_manet_uav_sparse,ppo_baseline,3,0.2423,0.1188,0.0403,10.2136,14884.7667,0.4050,0.3889
N12_grid_manet_uav_sparse,traffic_adaptive_tdma,3,0.0852,0.0418,0.0071,12.2306,17742.6667,0.8165,0.6667
